the_geom,cartodb_id,codigo_accidente,fecha_ocurrencia,hora_ocurrencia,gravedad,objectid,localidad,municipio,x,y,timedate,clase
0101000020E610000075CA7D547E8B52C09F6FB59531541240,4895,509918,2014-09-15,14:40:00,SOLO DANOS,4369089,CIUDAD BOLIVAR,BOGOTA,-74.17958557,4.582220401,2014-09-15 14:40:00+00,CHOQUE
0101000020E6100000CF71D33EF48852C04330F5907C791240,4896,497773,2014-05-10,3:00:00,SOLO DANOS,4148289,KENNEDY,BOGOTA,-74.13990756,4.618639245,2014-05-10 03:00:00+00,CHOQUE
0101000020E6100000A48262E2318552C06E6FE2A463CE1240,4897,511259,2014-09-27,20:15:00,SOLO DANOS,4391969,SUBA,BOGOTA,-74.0811697,4.701551987,2014-09-27 20:15:00+00,CHOQUE
0101000020E6100000BC11F24E398752C0E1F7D9423C8C1240,4898,4399437,2014-12-08,9:30:00,SOLO DANOS,4399437,PUENTE ARANDA,BOGOTA,-74.11287283,4.636948628,2014-12-08 09:30:00+00,CHOQUE
0101000020E61000000DF4A4DAB48752C079C56A2BAA9F1240,4899,4399436,2014-12-08,14:30:00,SOLO DANOS,4399436,FONTIBON,BOGOTA,-74.12041346,4.655922583,2014-12-08 14:30:00+00,CHOQUE
0101000020E610000081572EC8D48652C050A4E7551EDA1240,4900,4399438,2014-11-25,16:30:00,SOLO DANOS,4399438,ENGATIVA,BOGOTA,-74.10673718,4.713006346,2014-11-25 16:30:00+00,CHOQUE
0101000020E6100000E8FFBA72948452C0A19F3C3BFF9F1240,4901,4399445,2014-12-08,11:40:00,SOLO DANOS,4399445,BARRIOS UNIDOS,BOGOTA,-74.07156056,4.656247068,2014-12-08 11:40:00+00,CHOQUE
0101000020E6100000FA4B5809408452C050DA9089D88F1240,4902,4399449,2014-12-08,15:03:00,SOLO DANOS,4399449,TEUSAQUILLO,BOGOTA,-74.06640848,4.640474462,2014-12-08 15:03:00+00,CHOQUE
0101000020E6100000F4376966E28252C02617A0C335081340,4903,4399452,2014-12-08,13:00:00,CON HERIDOS,4399452,USAQUEN,BOGOTA,-74.04506836,4.758017594,2014-12-08 13:00:00+00,CHOQUE
0101000020E6100000B5FA4DD59B8552C0B96EE29538571240,4904,4399460,2014-12-16,22:00:00,CON HERIDOS,4399460,SAN CRISTOBAL,BOGOTA,-74.08763631,4.585176794,2014-12-16 22:00:00+00,VOLCAMIENTO
0101000020E61000008D2FD72B778652C074F0A72105A01240,4905,4399459,2014-12-08,14:50:00,SOLO DANOS,4399459,TEUSAQUILLO,BOGOTA,-74.10102364,4.656269575,2014-12-08 14:50:00+00,CHOQUE
0101000020E6100000957A4975178452C0E765F674D39A1240,4906,4399461,2014-11-25,9:30:00,SOLO DANOS,4399461,CHAPINERO,BOGOTA,-74.06393177,4.651197269,2014-11-25 09:30:00+00,CHOQUE
0101000020E6100000D9ED7667148852C05A5AE5C0AD841240,4907,4399463,2014-12-08,5:50:00,SOLO DANOS,4399463,KENNEDY,BOGOTA,-74.12624537,4.629569067,2014-12-08 05:50:00+00,CHOQUE
0101000020E61000002E872705478752C017D2DC68D2DC1240,4908,4399478,2014-12-16,20:15:00,CON HERIDOS,4399478,ENGATIVA,BOGOTA,-74.11370973,4.715646399,2014-12-16 20:15:00+00,ATROPELLO
